File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#morphemes,morphemes/utterances,Standard deviation
040504.cha,eng,Brown,CHI,4;05.04,female,.,.,.,Target_Child,.,.,266,893,3.357,2.479
040508.cha,eng,Brown,CHI,4;05.08,female,.,.,.,Target_Child,.,.,232,838,3.612,2.506
040514.cha,eng,Brown,CHI,4;05.14,female,.,.,.,Target_Child,.,.,251,901,3.59,2.356
040522.cha,eng,Brown,CHI,4;05.22,female,.,.,.,Target_Child,.,.,278,1051,3.781,2.534
040529.cha,eng,Brown,CHI,4;05.29,female,.,.,.,Target_Child,.,.,319,1387,4.348,3.122
040605.cha,eng,Brown,CHI,4;06.05,female,.,.,.,Target_Child,.,.,235,877,3.732,2.231
040610.cha,eng,Brown,CHI,4;06.10,female,.,.,.,Target_Child,.,.,302,1235,4.089,2.754
040617.cha,eng,Brown,CHI,4;06.17,female,.,.,.,Target_Child,.,.,234,752,3.214,2.36
040624.cha,eng,Brown,CHI,4;06.24,female,.,.,.,Target_Child,.,.,269,970,3.606,2.33
040700.cha,eng,Brown,CHI,4;07.00,female,.,.,.,Target_Child,.,.,235,935,3.979,2.374
040711.cha,eng,Brown,CHI,4;07.11,female,.,.,.,Target_Child,.,.,256,880,3.438,2.69
040717.cha,eng,Brown,CHI,4;07.17,female,.,.,.,Target_Child,.,.,265,1063,4.011,2.762
040724.cha,eng,Brown,CHI,4;07.24,female,.,.,.,Target_Child,.,.,248,1102,4.444,3.721
040807.cha,eng,Brown,CHI,4;08.07,female,.,.,.,Target_Child,.,.,274,936,3.416,2.38
040813.cha,eng,Brown,CHI,4;08.13,female,.,.,.,Target_Child,.,.,244,979,4.012,3.406
040820.cha,eng,Brown,CHI,4;08.20,female,.,.,.,Target_Child,.,.,234,1043,4.457,3.655
040904.cha,eng,Brown,CHI,4;09.04,female,.,.,.,Target_Child,.,.,216,885,4.097,2.667
040912.cha,eng,Brown,CHI,4;09.12,female,.,.,.,Target_Child,.,.,258,986,3.822,2.827
040919.cha,eng,Brown,CHI,4;09.19,female,.,.,.,Target_Child,.,.,150,565,3.767,2.662
040926.cha,eng,Brown,CHI,4;09.26,female,.,.,.,Target_Child,.,.,236,1010,4.28,2.842
041006.cha,eng,Brown,CHI,4;10.06,female,.,.,.,Target_Child,.,.,261,981,3.759,3.095
041021.cha,eng,Brown,CHI,4;10.21,female,.,.,.,Target_Child,.,.,223,755,3.386,2.34
041027.cha,eng,Brown,CHI,4;10.27,female,.,.,.,Target_Child,.,.,230,953,4.143,2.856
041104.cha,eng,Brown,CHI,4;11.04,female,.,.,.,Target_Child,.,.,185,713,3.854,2.975
041113.cha,eng,Brown,CHI,4;11.13,female,.,.,.,Target_Child,.,.,219,960,4.384,3.152
041119.cha,eng,Brown,CHI,4;11.19,female,.,.,.,Target_Child,.,.,226,849,3.757,2.828
041126.cha,eng,Brown,CHI,4;11.26,female,.,.,.,Target_Child,.,.,181,619,3.42,2.2
050002.cha,eng,Brown,CHI,5;00.02,female,.,.,.,Target_Child,.,.,224,803,3.585,2.389
050010.cha,eng,Brown,CHI,5;00.10,female,.,.,.,Target_Child,.,.,221,802,3.629,2.414
050016.cha,eng,Brown,CHI,5;00.16,female,.,.,.,Target_Child,.,.,250,928,3.712,2.604
050025.cha,eng,Brown,CHI,5;00.25,female,.,.,.,Target_Child,.,.,251,900,3.586,2.323
050030.cha,eng,Brown,CHI,5;00.30,female,.,.,.,Target_Child,.,.,267,1106,4.142,2.956
050106.cha,eng,Brown,CHI,5;01.06,female,.,.,.,Target_Child,.,.,193,652,3.378,2.419
